practice_id,name,ccg_id,total_list_size,small_flag,single_handed,gp_count,open_years,dispensing,rural,urban,imd,abx_per_starpu
A81001,THE DENSHAM SURGERY,00K,4104,0,0,2,44,0,0,0,29.14031034,0.5460619676173567
A81002,QUEENS PARK MEDICAL CENTRE,00K,19990,0,0,13,44,0,0,0,29.68970594,0.5841703417649868
A81004,BLUEBELL MEDICAL CENTRE,00M,10023,0,0,5,44,0,0,0,34.41182835,0.5695011086406201
A81005,SPRINGWOOD SURGERY,00M,7981,0,0,6,44,0,0,0,15.74381223,0.5029962377096567
A81006,TENNANT STREET MEDICAL PRACTICE,00K,14458,0,0,10,44,0,0,0,31.79151483,0.5908141835134981
A81007,BANKHOUSE SURGERY,00K,10039,0,0,8,44,0,0,0,32.06803777,0.4964244242714858
A81009,VILLAGE MEDICAL CENTRE,00M,8740,0,0,4,44,0,0,0,35.26387752,0.6090588989346543
A81011,CHADWICK PRACTICE,00K,11941,0,0,5,44,0,0,0,34.62706152,0.548832379150098
A81012,WESTBOURNE MEDICAL CENTRE,00M,4841,0,0,3,44,0,0,0,50.12893946,0.6577369868499323
A81013,BROTTON SURGERY,00M,6385,0,0,5,44,0,0,0,29.95548785,0.44384924023684935
A81014,QUEENSTREE PRACTICE,00K,3790,0,0,4,44,0,0,0,22.23572058,0.5085733726002095
A81016,PARK SURGERY,00M,9859,0,0,6,44,0,0,0,43.80378033,0.5454671404855149
A81017,WOODBRIDGE PRACTICE,00K,19695,0,0,9,44,0,0,0,18.98819117,0.5053622516270297
A81018,BENTLEY MEDICAL PRACTICE,00M,10158,0,0,5,44,0,0,0,29.54301673,0.7379002395727665
A81019,CROSSFELL HEALTH CENTRE,00M,9844,0,0,7,44,0,0,0,49.49477708,0.6973001589433453
A81020,MARTONSIDE MEDICAL CENTRE,00M,7917,0,0,11,44,0,0,0,31.52312175,0.6189270770419861
A81021,NORMANBY MEDICAL CENTRE,00M,13528,0,0,7,44,0,0,0,34.75313748,0.7245943361930611
A81022,HILLSIDE PRACTICE,00M,10477,0,0,6,44,0,0,0,27.71023657,0.5397238771524757
A81023,THE ENDEAVOUR PRACTICE,00M,7774,0,0,10,44,0,0,0,46.63089592,0.47998284581347445
A81025,THE DOVECOT SURGERY,00K,4019,0,0,3,44,0,0,0,32.47123647,0.5701426643369136
A81026,LINTHORPE SURGERY,00M,14455,0,0,11,44,0,0,0,37.59644019,0.6425538537448382
A81027,YARM MEDICAL PRACTICE,00K,14353,0,0,8,44,0,0,0,8.238294135,0.4613102445147824
A81029,PROSPECT SURGERY,00M,5967,0,0,6,44,0,0,0,48.23226525,0.4284388982857293
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,00M,13411,0,0,11,44,0,0,0,28.13596962,0.6945675462176738
A81031,HAVELOCK GRANGE PRACTICE,00K,12723,0,0,11,44,0,0,0,35.1461135,0.6349845653811302
A81032,THE GARTH,00M,10753,0,0,9,44,0,0,0,19.63591342,0.647097398335565
A81034,THORNABY & BARWICK MEDICAL GROUP,00K,21822,0,0,11,44,0,0,0,20.98808747,0.5970029915829824
A81035,NEWLANDS MEDICAL CENTRE,00M,10205,0,0,5,44,0,0,0,44.04136663,0.4189370886167646
A81036,NORTON MEDICAL CENTRE,00K,17782,0,0,13,44,0,0,0,26.09649202,0.5520663382608665
A81037,THE ERIMUS PRACTICE,00M,6854,0,0,3,44,0,0,0,47.4590998,0.7875183939029159
A81038,HIRSEL MEDICAL CENTRE,00M,3455,0,0,3,44,0,0,0,47.99741699,0.7318385839567682
A81039,EAGLESCLIFFE MEDICAL PRACTICE,00K,10098,0,0,7,44,0,0,0,9.342918848,0.6040205072931598
A81040,MARSH HOUSE MEDICAL PRACTICE,00K,8577,0,0,5,44,0,0,0,23.64271266,0.6629787728091745
A81041,HART MEDICAL PRACTICE,00K,9134,0,0,6,44,0,0,0,34.17871251,0.5797045604192634
A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE,00M,10953,0,0,10,44,0,0,0,45.63105046,0.6780921582971382
A81043,THE MANOR HOUSE SURGERY,00M,8362,0,0,8,44,0,0,0,32.32458929,0.6794822867688327
A81044,MCKENZIE HOUSE SURGERY,00K,18905,0,0,10,44,0,0,0,30.62039605,0.5173576801631625
A81045,THE COATHAM ROAD SURGERY,00M,7403,0,0,4,44,0,0,0,27.59996608,0.651528165425597
A81046,WOODLANDS FAMILY MEDICAL CENTRE,00K,12687,0,0,9,44,0,0,0,29.06207072,0.511182278140685
A81048,ZETLAND MEDICAL PRACTICE,00M,7387,0,0,7,44,0,0,0,15.6654641,0.5756278418097096
A81049,KINGS MEDICAL CENTRE,00M,5696,0,0,3,44,0,0,0,49.4875184,0.743393832890294
A81051,CAMBRIDGE MEDICAL GROUP,00M,7380,0,0,9,44,0,0,0,27.8201752,0.5866154150264336
A81052,THE GREEN HOUSE SURGERY,00M,8509,0,0,5,44,0,0,0,27.96223785,0.6801496583917371
A81053,WOODSIDE SURGERY,00M,6435,0,0,5,44,0,0,0,38.64034432,0.758506394649347
A81054,THE SALTSCAR SURGERY,00M,8179,0,0,5,44,0,0,0,27.6898324,0.6249050698732577
A81056,MELROSE SURGERY,00K,2556,1,0,3,44,0,0,0,24.0161764,0.43993004645436656
A81057,KINGSWAY MEDICAL CENTRE,00K,8857,0,0,7,44,0,0,0,25.30902378,0.6124164372569217
A81058,COULBY MEDICAL PRACTICE,00M,8255,0,0,6,44,0,0,0,27.60869821,0.6898745476680833
A81060,THE KOH PRACTICE,00K,5671,0,0,4,44,0,0,0,31.69967364,0.7254313559774482
A81063,THE HEADLAND MEDICAL CENTRE,00K,5457,0,0,2,44,0,0,0,36.1481166,0.4570934971356184
A81064,THE DISCOVERY PRACTICE,00M,6476,0,0,4,44,0,0,0,43.760775,0.5900475421217894
A81065,THE ESTON SURGERY,00M,3948,0,1,1,44,0,0,0,48.54913723,0.8113442882124681
A81066,PARK LANE SURGERY,00K,4411,0,0,4,44,1,0,0,14.46241018,0.4977620762464866
A81067,ALMA MEDICAL CENTRE,00K,11522,0,0,9,44,0,0,0,39.77177904,0.5498013170568469
A81070,MCKENZIE GROUP PRACTICE,00K,6942,0,0,10,31,0,0,0,42.85539199,0.5837295322851735
A81602,DR RASOOL,00K,2494,1,1,1,44,0,0,0,21.71767807,0.611499692060373
A81608,ELM TREE SURGERY,00K,3879,0,0,3,44,0,0,0,37.33538101,0.6991962775095232
A81610,THE ROSEBERRY PRACTICE,00K,7957,0,0,7,44,0,0,0,22.82072453,0.5253011010231056
A81611,PARKWAY MEDICAL CENTRE,00M,6943,0,0,6,44,0,0,0,25.77763821,0.5260096347210964
A81612,THE PATEL PRACTICE,00K,3282,0,0,3,44,0,0,0,22.05719197,0.5138893202094053
A81618,HUNTCLIFF SURGERY,00M,9262,0,0,5,30,0,0,0,21.35631622,0.6650098694682883
A81621,THORNTREE SURGERY,00M,2295,1,0,6,30,0,0,0,65.56865103,0.6069002005830568
A81622,GLADSTONE HOUSE SURGERY,00K,5488,0,0,5,29,0,0,0,37.66724547,0.6031536364851409
A81629,RIVERSIDE MEDICAL PRACTICE,00K,4924,0,0,4,20,0,0,0,36.1736156,0.6713522959144993
A81630,FOUNDATIONS,112,747,1,0,3,17,0,0,0,57.46480699,1.1723938370511493
A81631,WEST VIEW MILLENIUM SURGERY A,00K,6701,0,0,5,16,0,0,0,34.0212732,0.5971749114441628
